,object_number,url,valid_link,image_link,seen
5455,PC 19770098,https://opencontext.org/subjects/825573d4-003e-4622-e286-fe0a2ea36902,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770098ajpg-24-19770098ajpg.jpg,True
5456,PC 19770100,https://opencontext.org/subjects/e8efc8ef-7dfe-4004-c047-4d60807fad49,True,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19770100ajpg.jpg,True
5457,PC 19770105,https://opencontext.org/subjects/18255d3f-1a31-45c4-cdb0-b15360e61eec,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770105ajpg-24-19770105ajpg.jpg,True
5458,PC 19770110,https://opencontext.org/subjects/7d214f2b-2186-477e-5024-f34d71cf0c05,True,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19770110ajpg.jpg,True
5459,PC 19770111,https://opencontext.org/subjects/eca25e16-1f14-498c-94bc-98121fee76e6,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770111ajpg-24-19770111ajpg.jpg,True
5460,PC 19770112,https://opencontext.org/subjects/5611de6d-c3ee-4ab0-401c-06a058f8dcb2,True,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19770112ajpg.jpg,True
5461,PC 19770132,https://opencontext.org/subjects/25d25e51-c671-40e9-6453-d124fedc0e80,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770132ajpg-24-19770132ajpg.jpg,True
5462,PC 19770135,https://opencontext.org/subjects/6ee292fc-ac8e-4cb5-102e-3f27f29ff41e,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770135ajpg-24-19770135ajpg.jpg,True
5463,PC 19770142,https://opencontext.org/subjects/a85a0a39-2735-4002-1e71-d2048a386e39,True,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19770142ajpg.jpg,True
5464,PC 19770143,https://opencontext.org/subjects/cee25551-6504-48d7-2951-13d009e82717,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770143ajpg-24-19770143ajpg.jpg,True
5465,PC 19770148,https://opencontext.org/subjects/54318030-ef7a-4634-42b0-3f969c45e681,True,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19770148ajpg.jpg,True
5466,PC 19770166,https://opencontext.org/subjects/f7c19b1d-c771-4aa3-7bb7-af12b29ad682,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770166ajpg-24-19770166ajpg.jpg,True
5467,PC 19770167,https://opencontext.org/subjects/281764ac-f98a-47a9-39e7-d73a8371aedc,True,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19770167ajpg.jpg,True
5468,PC 19770175,https://opencontext.org/subjects/ca0c297f-334d-41e2-2873-ada1fd341ea9,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770175ajpg-24-19770175ajpg.jpg,True
5469,PC 19770176,https://opencontext.org/subjects/0b180205-5d0a-4cc8-4093-8725264afa71,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770176abtjpg-24-19770176abtjpg.jpg,True
5470,PC 19770178,https://opencontext.org/subjects/4c9fdccd-9162-49f8-7f2b-13458bea5366,True,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19770178ajpg.jpg,True
5471,PC 19770179,https://opencontext.org/subjects/f8f9ed43-8be0-4562-6111-c862a857ec58,True,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19770179-2009-001jpg.jpg,True
5472,PC 19770183,https://opencontext.org/subjects/e4d9ad2a-260b-4f88-2bca-7e5e90081a5f,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770183ajpg-24-19770183ajpg.jpg,True
5473,PC 19770185,https://opencontext.org/subjects/2f031903-ef68-4f7a-3495-63c52a9f2d58,True,https://artiraq.org/static/opencontext/poggio-civitate/thumbs/19770185a.jpg,True
5474,PC 19770186,https://opencontext.org/subjects/cbb0c266-353f-4327-23bb-8109fb84d26c,True,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19770186ajpg.jpg,True
5475,PC 19770188,https://opencontext.org/subjects/51b84d83-0170-4ef5-a302-8b21332c55fb,True,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19770188ajpg.jpg,True
5476,PC 19770193,https://opencontext.org/subjects/78bda1a6-e388-4158-aea2-76b80c1c6b22,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770193ahgjpg-24-19770193ahgjpg.jpg,True
5477,PC 19770194,https://opencontext.org/subjects/c70c4bfb-8ffc-4aa2-fd1b-a6ef6e55f4cc,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770194ajpg-24-19770194ajpg.jpg,True
5478,PC 19770195,https://opencontext.org/subjects/0ba64e2e-7bb6-4bb9-d619-2fa06724a53b,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770195ajpg-24-19770195ajpg.jpg,True
5479,PC 19770197,https://opencontext.org/subjects/93326dbc-e68f-414c-5d32-8351b560bb97,True,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19770197ajpg.jpg,True
5480,PC 19770209,https://opencontext.org/subjects/abb3b181-d4c8-4cbc-5be8-1b16e04a0130,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770209ajpg-24-19770209ajpg.jpg,True
5481,PC 19770211,https://opencontext.org/subjects/90460946-934a-424c-e01a-50bb4dfdc172,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770211ajpg-24-19770211ajpg.jpg,True
5482,PC 19770228,https://opencontext.org/subjects/78811465-43e3-497c-8c93-9feecf20fe58,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770228ajpg-24-19770228ajpg.jpg,True
5483,PC 19770241,https://opencontext.org/subjects/0c8b7821-2eeb-4b21-091a-74042262cc96,True,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19770241ajpg.jpg,True
5484,PC 19770243,https://opencontext.org/subjects/c050eb0f-54c9-420e-df43-13a565359446,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770243ajpg-24-19770243ajpg.jpg,True
5485,PC 19770245,https://opencontext.org/subjects/a1e4ec33-c7a0-4264-9f8e-143125d4ed27,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770245ajpg-24-19770245ajpg.jpg,True
5486,PC 19770254,https://opencontext.org/subjects/c9dd1cb8-9637-4b53-27b1-6b6476c3a6a1,True,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19770254bwjpg.jpg,True
5487,PC 19770296,https://opencontext.org/subjects/907b4933-0931-4d3a-1fa5-b0f312cedce0,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19770296ajpg-24-19770296ajpg.jpg,True
5488,PC 19770298,https://opencontext.org/subjects/8a77f759-c5c7-4eb0-a204-1dd335199774,True,https://storage.googleapis.com/opencontext-media/internet-archive/ia-thumbnails/24-19770298ajpg.jpg,True
5489,PC 19790153,https://opencontext.org/subjects/c468f242-8e7c-4786-8972-acc051129e1b,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19790153jpg-24-19790153jpg.jpg,True
5490,PC 19920056,https://opencontext.org/subjects/efde5aad-5917-46f6-09ec-d850120f39f8,True,https://storage.googleapis.com/opencontext-media/internet-archive/thumbs/opencontext-24-19920056ajpg-24-19920056ajpg.jpg,True
5491,PC 20150001,https://opencontext.org/subjects/16418472-ecfb-42e3-b530-97fe45f3616b,True,,True
5492,PC 20150018,https://opencontext.org/subjects/670b11cb-675f-4a61-a86e-0608b801035a,True,,True
5493,PC 20150028,https://opencontext.org/subjects/473066f6-507d-44cb-af35-dca3a9b206a9,True,,True
5494,PC 20150050,https://opencontext.org/subjects/4e95d2f1-046f-4129-85e2-73719f057dc0,True,,True
5495,PC 20150081,https://opencontext.org/subjects/88ff4e9f-78e1-4028-9750-61bd0b2068f1,True,https://storage.googleapis.com/opencontext-media/poggio-civitate/2024-media/thumbs/pc20150081-16-41-20.jpg,True
5496,PC 20150082,https://opencontext.org/subjects/84071d2c-55ca-448f-9077-2de1a32795d7,True,https://storage.googleapis.com/opencontext-media/poggio-civitate/2024-media/thumbs/pc20150082-16-41-58.jpg,True
5497,PC 20150083,https://opencontext.org/subjects/7b508e09-0196-44e6-8c60-3afe94e17f3f,True,https://storage.googleapis.com/opencontext-media/poggio-civitate/2024-media/thumbs/pc20150083-16-44-48.jpg,True
5498,PC 20150084,https://opencontext.org/subjects/43748893-48c4-4312-a87f-78ba80358c6b,True,https://storage.googleapis.com/opencontext-media/poggio-civitate/2024-media/thumbs/pc20150084-16-45-28.jpg,True
5499,PC 20160002,https://opencontext.org/subjects/a5521212-9e21-4add-8cbe-8472987013c6,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160002a.jpg,True
5500,PC 20160008,https://opencontext.org/subjects/d65e6efc-9189-45a9-aa70-c13ea36907ec,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160008.jpg,True
5501,PC 20160011,https://opencontext.org/subjects/96ca5a35-c190-4fe9-9b26-61763c868967,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160011exterior.jpg,True
5502,PC 20160012,https://opencontext.org/subjects/79374ca2-2e28-472b-be2d-537efa590a47,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160012exterior.jpg,True
5503,PC 20160013,https://opencontext.org/subjects/e19c70bf-9dba-4131-9f24-bf34ce6fb05f,True,,True
5504,PC 20160014,https://opencontext.org/subjects/1c582b4a-b03d-4134-be64-9520e4ca23bb,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160014a.jpg,True
5505,PC 20160015,https://opencontext.org/subjects/167eb0d9-de57-473b-86cd-0bc4324d3f26,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160015interior.jpg,True
5506,PC 20160020,https://opencontext.org/subjects/1758b0be-2968-4673-9767-d31cba8c7a03,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160020a.jpg,True
5507,PC 20160021,https://opencontext.org/subjects/a1c63e60-d4cd-40f4-a700-19220e576592,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160021.jpg,True
5508,PC 20160022,https://opencontext.org/subjects/4c1f6e34-8bd0-4d56-a234-96f291ece0f2,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160022.jpg,True
5509,PC 20160023,https://opencontext.org/subjects/fee0dbaa-caeb-42f0-87fc-2efaf15316fc,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160023a.jpg,True
5510,PC 20160024,https://opencontext.org/subjects/bae95906-a310-40ad-8b54-ec63b671650a,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160024.jpg,True
5511,PC 20160025,https://opencontext.org/subjects/bd053b8a-8446-4e94-80f8-27bd528ebefd,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160025.jpg,True
5512,PC 20160027,https://opencontext.org/subjects/dc61754f-ab1a-4400-8ba0-63e660599452,True,https://artiraq.org/static/opencontext/poggio-civitate/to-2017/thumbs/20160027a.jpg,True
