"Item Label","URI","Citation URI","Project","Project URI","Context","Context [2]","Context [3]","Context [4]","Context [5]","Context URI","Latitude (WGS 84)","Longitude (WGS 84)","Early BCE/CE","Late BCE/CE","Item Category","icon","Thumbnail","Published Date","Updated Date"
"T106 2024","http://opencontext.org/subjects/543c2a92-9262-47b4-9d08-9769e1a3e9af","","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 106","https://opencontext.org/subjects/6835f007-eefa-4419-a31d-d5152a1a6184","43.15288814984292","11.402190841881808","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://storage.googleapis.com/opencontext-media/poggio-civitate/2024-media/thumbs/trench-book-trench-closing-pg-331-9-20-12.jpg","2012-07-06T00:00:00Z","2025-04-05T15:48:21Z"
"2001, ID:483","http://opencontext.org/subjects/cd34e501-2845-41c1-6068-0330a6d6947e","https://n2t.net/ark:/28722/k2639q65q","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 22 West Extension","https://opencontext.org/subjects/7657e3b1-bd3b-4ca1-dde9-283320549b59","43.152544631958","11.402595291138","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/MSmithI_220,221.JPG","2012-12-28T00:00:00Z","2025-04-05T15:49:27Z"
"1996, ID:250","http://opencontext.org/subjects/0d24da34-1ace-4ea7-1a08-864c3771d57a","https://n2t.net/ark:/28722/k2sx68b1m","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Civitate D","Civitate D 7","https://opencontext.org/subjects/a8918907-a652-4cdb-628e-62a7a57296fa","43.151234054565","11.403251266479","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/EClarkI/EClarkI_248,249.jpg","2012-12-28T00:00:00Z","2025-04-05T15:49:19Z"
"1996, ID:236","http://opencontext.org/subjects/eae75fe0-a422-450d-ecfa-d6e755d13cdc","https://n2t.net/ark:/28722/k2qj7d027","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Civitate B","Civitate B 32","https://opencontext.org/subjects/18e8536c-adac-44d3-8fce-87f7af56ec59","43.152775083269","11.39832896278","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/JALomasI_152,153.JPG","2012-12-28T00:00:00Z","2025-04-05T15:49:19Z"
"1985, ID:119","http://opencontext.org/subjects/1715f935-44f4-46b0-458a-ca73117b66f7","https://n2t.net/ark:/28722/k2668dk9h","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 26","https://opencontext.org/subjects/85992e07-7da1-4af7-f0b8-2209cbe4f57f","43.152596904314926","11.40207692675808","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/ACollinsIV_154,155.JPG","2012-12-28T00:00:00Z","2025-04-05T15:49:07Z"
"1968, ID:467","http://opencontext.org/subjects/e651cbef-b83d-4ed4-21fd-a8a9ae2c18bd","https://n2t.net/ark:/28722/k2mp50p2x","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Agger","Agger 2D","https://opencontext.org/subjects/43826afc-e21a-429c-d3d9-cc24ef6cd615","43.153330809736715","11.401344735594241","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/PSmallI_117,118.JPG","2012-12-28T00:00:00Z","2025-04-05T15:48:41Z"
"1993, ID:395","http://opencontext.org/subjects/f143fa0b-93c8-435f-d34a-bbf4725708af","https://n2t.net/ark:/28722/k2sq8vk00","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Civitate A","Civitate A 36","https://opencontext.org/subjects/c388d8db-69cb-498e-6159-5dc0d6b33b44","43.15335911298063","11.399605117835264","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/JBerkinIV/JBerkinIV_184,185.jpg","2012-12-28T00:00:00Z","2025-04-05T15:49:16Z"
"1979, ID:91","http://opencontext.org/subjects/8c7bcd69-dfda-4b40-fafa-ed89718a99da","https://n2t.net/ark:/28722/k2gh9gb2s","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 23 Extension","https://opencontext.org/subjects/df6744d2-3ab9-4597-d2f3-8e8b5becf815","43.152452141898","11.403396279472","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/MCarasII/MCarasII_266,267.jpg","2012-12-28T00:00:00Z","2025-04-05T15:49:02Z"
"1988, ID:130","http://opencontext.org/subjects/c6841408-c4d0-4f1f-b163-0f093bd2ec6f","https://n2t.net/ark:/28722/k2fq9v648","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Tesoro","Tesoro 26","https://opencontext.org/subjects/85992e07-7da1-4af7-f0b8-2209cbe4f57f","43.15264754048876","11.401922107089998","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/SpencerIII_126,127.JPG","2012-12-28T00:00:00Z","2025-04-05T15:49:09Z"
"1998, ID:363","http://opencontext.org/subjects/b98e614b-da64-41be-1ce8-9e5d3496c96d","https://n2t.net/ark:/28722/k2b56j57z","Murlo","https://opencontext.org/projects/df043419-f23b-41da-7e4d-ee52af22f92f","Europe","Italy","Poggio Civitate","Agger","Agger 9 Extension","https://opencontext.org/subjects/5f3f7e8b-7d93-4295-9c09-5ddcb9f88508","43.15312739164687","11.401159933193957","-700","-535","Excavation Unit","https://opencontext.org/static/oc/icons-v2/oc-context-icon.svg","https://artiraq.org/static/opencontext/poggio-civitate/thumbs/trenchbookimages/uncropped/GMeyersIII_266,267.JPG","2012-12-28T00:00:00Z","2025-04-05T15:49:22Z"
